iter	RMSE
429	424012.647
430	423994.4161
431	423985.9617
432	423966.2791
433	423961.2438
434	423957.8131
435	423944.9388
436	423933.8488
437	423919.3273
438	423910.5918
439	423899.0568
440	423886.2108
441	423884.3864
442	423875.2746
443	423870.8205
444	423857.8504
445	423839.7095
446	423834.5686
447	423819.1485
448	423810.759
449	423799.6198
450	423782.5345
451	423774.7684
452	423767.7156
453	423759.5675
454	423751.6118
455	423740.2078
456	423724.7043
457	423718.9575
458	423709.4924
459	423693.5595
460	423681.1412
461	423667.1136
462	423653.4886
463	423645.827
464	423641.8338
465	423626.7063
466	423610.3439
467	423599.4712
468	423588.2929
469	423582.7391
470	423574.9476
471	423560.1045
472	423532.7903
473	423512.8191
474	423497.6504
475	423483.6625
476	423471.1917
477	423465.1428
478	423459.1681
479	423454.0983
480	423445.3759
481	423434.1317
482	423425.6177
483	423419.1423
484	423408.5031
485	423400.3898
486	423386.5645
487	423371.3284
488	423359.5195
489	423349.6154
490	423341.7023
491	423334.1913
492	423328.2107
493	423319.8287
494	423312.0665
495	423302.0477
496	423290.0585
497	423277.602
498	423269.0028
499	423255.6378
