iter	RMSE
0	429462.2979
1	429447.5239
2	429429.0485
3	429410.3463
4	429384.4032
5	429364.6944
6	429336.5775
7	429314.9849
8	429302.093
9	429288.1928
10	429268.4189
11	429250.6848
12	429235.996
13	429222.7993
14	429209.0272
15	429198.8873
16	429185.596
17	429173.4869
18	429152.4838
19	429132.026
20	429103.0695
21	429086.3255
22	429074.4871
23	429047.5725
24	429034.4597
25	429017.3302
26	428999.9667
27	428980.1053
28	428962.4987
29	428941.7653
30	428928.6592
31	428911.564
32	428897.2615
33	428877.8711
34	428863.8993
35	428844.0139
36	428835.39
37	428822.2866
38	428803.0561
39	428792.3454
40	428784.0612
41	428766.3918
42	428751.6479
43	428731.1576
44	428722.6094
45	428708.3548
46	428689.0584
47	428676.1673
48	428664.857
49	428639.9742
50	428623.1916
51	428596.8593
52	428581.8158
53	428563.1073
54	428548.8205
55	428526.4417
56	428518.2695
57	428510.2521
58	428494.1935
59	428484.7145
60	428472.2687
61	428446.6071
62	428439.0972
63	428427.3943
64	428412.1916
65	428397.0558
66	428377.8629
67	428357.7384
68	428351.0649
69	428339.0387
70	428321.3363
71	428307.5883
72	428290.562
73	428278.993
74	428262.2916
75	428245.5087
76	428234.9594
77	428225.5253
78	428211.1674
79	428201.7561
80	428195.8561
81	428183.5421
82	428167.2477
83	428157.9969
84	428148.3816
85	428133.5079
86	428123.0624
87	428112.0144
88	428101.9489
89	428078.4972
90	428060.458
91	428045.8822
92	428034.2598
93	428014.6692
94	427998.2983
95	427991.332
96	427979.2159
97	427966.3824
98	427949.1053
99	427936.5028
100	427920.6521
101	427906.4734
102	427887.0027
103	427878.1821
104	427859.9994
105	427841.769
106	427828.8799
107	427815.9483
108	427804.4699
109	427798.1291
110	427788.2735
111	427776.459
112	427760.0072
113	427745.2517
114	427726.0498
115	427715.6329
116	427695.8942
117	427687.139
118	427674.2612
119	427661.5553
120	427644.2322
121	427626.6227
122	427610.2247
123	427601.7207
124	427592.5191
125	427580.8362
126	427574.0093
127	427554.7359
128	427533.8215
129	427515.3729
130	427506.3286
131	427495.9487
132	427487.7864
133	427471.3473
134	427458.8461
135	427449.5654
136	427434.1859
137	427417.6331
138	427408.3333
139	427400.2617
140	427382.7074
141	427370.4137
142	427362.1806
143	427347.7437
144	427335.5151
145	427327.8524
146	427310.0592
147	427300.2114
148	427288.5522
149	427282.2258
150	427268.567
151	427248.9798
152	427227.5373
153	427210.1848
154	427198.6529
155	427186.344
156	427172.1494
157	427153.7483
158	427140.1123
159	427128.55
160	427119.7896
161	427114.5695
162	427097.5569
163	427079.0679
164	427071.1845
165	427061.6063
166	427042.2465
167	427031.95
168	427021.8923
169	427014.2031
170	427003.9969
171	426982.7864
172	426974.9089
173	426966.8213
174	426959.0429
175	426948.73
176	426929.5688
177	426911.1326
178	426895.6686
179	426885.495
180	426878.9695
181	426871.7773
182	426854.5562
183	426837.63
184	426832.9521
185	426821.2337
186	426811.0152
187	426795.2562
188	426780.8945
189	426763.6776
190	426751.0685
191	426724.764
192	426712.6905
193	426700.2897
194	426680.1227
195	426669.1033
196	426646.8326
197	426634.9142
198	426619.8916
199	426602.3446
200	426583.2003
201	426574.6905
202	426563.2405
203	426549.9966
204	426535.6828
205	426531.4087
206	426517.5475
207	426502.164
208	426497.5529
209	426484.2921
210	426475.2921
211	426464.3902
212	426455.6745
213	426441.2229
214	426424.2744
215	426413.3668
216	426401.5095
217	426391.7726
218	426383.6192
219	426367.7101
220	426360.0703
221	426349.1244
222	426338.2197
223	426331.4861
224	426320.3642
225	426314.0287
226	426302.1913
227	426282.2132
228	426271.6107
229	426253.0105
230	426237.2911
231	426224.1567
232	426210.3808
233	426203.1211
234	426188.2903
235	426176.6311
236	426155.8889
237	426134.3087
238	426123.3989
239	426111.0818
240	426101.6385
241	426093.0879
242	426078.9615
243	426068.4728
244	426059.8877
245	426050.8146
246	426041.3783
247	426032.1757
248	426023.4342
249	426015.3327
250	426006.3749
251	425994.0654
252	425989.5481
253	425967.6626
254	425961.8515
255	425956.7579
256	425932.5115
257	425919.6357
258	425907.1545
259	425896.8011
260	425883.4176
261	425878.5451
262	425867.5858
263	425859.9965
264	425841.409
265	425832.8812
266	425814.4616
267	425804.904
268	425794.6134
269	425782.7301
270	425775.3389
271	425758.5013
272	425750.0074
273	425725.3217
274	425714.5409
275	425704.0479
276	425688.1963
277	425681.1329
278	425667.4245
279	425659.913
280	425654.4099
281	425645.8989
282	425633.1531
283	425625.6204
284	425612.1523
285	425603.6027
286	425585.4926
287	425577.9858
288	425573.7091
289	425560.9961
290	425533.0807
291	425518.1113
292	425502.3976
293	425488.2371
294	425474.9609
295	425468.3882
296	425455.6428
297	425450.1676
298	425438.1067
299	425426.9759
300	425415.8469
301	425409.6048
302	425388.5235
303	425380.978
304	425375.8696
305	425366.2117
306	425356.9992
307	425344.899
308	425336.9359
309	425326.0552
310	425307.3612
311	425297.4008
312	425286.42
313	425276.1673
314	425263.3
315	425258.5777
316	425252.3414
317	425244.8527
318	425238.0543
319	425232.223
320	425221.3565
321	425217.1428
322	425208.039
323	425201.0731
324	425192.9034
325	425183.6904
326	425170.6386
327	425151.3761
328	425144.9206
329	425135.0742
330	425129.9767
331	425118.9834
332	425100.3373
333	425088.6726
334	425076.6302
335	425049.8155
336	425035.782
337	425025.6737
338	425009.2477
339	424996.2299
340	424987.3288
341	424979.6599
342	424971.6134
343	424967.1409
344	424960.9981
345	424952.5439
346	424934.6887
347	424930.56
348	424918.2912
349	424912.3393
350	424907.3495
351	424896.4943
352	424889.196
353	424881.9786
354	424868.069
355	424852.7133
356	424831.2898
357	424822.881
358	424812.4545
359	424793.4162
360	424767.7023
361	424762.4043
362	424754.7154
363	424749.6984
364	424733.884
365	424724.3728
366	424706.3119
367	424698.1016
368	424689.8512
369	424681.2733
370	424671.1326
371	424649.279
372	424631.9187
373	424604.0545
374	424587.7451
375	424582.3251
376	424569.4605
377	424548.351
378	424540.6183
379	424529.0549
380	424523.451
381	424518.0725
382	424512.6252
383	424505.1999
384	424496.2954
385	424483.3637
386	424468.1711
387	424461.5528
388	424457.2086
389	424449.8019
390	424437.9284
391	424420.3303
392	424406.159
393	424395.0546
394	424375.7786
395	424366.5133
396	424360.0091
397	424351.5593
398	424341.0821
399	424323.0743
400	424312.8731
401	424302.671
402	424286.8376
403	424278.654
404	424265.7417
405	424253.8104
406	424244.9497
407	424239.4415
408	424230.6662
409	424215.6019
410	424199.5425
411	424190.9079
412	424182.6047
413	424170.4108
414	424154.9658
415	424154.4169
416	424128.4514
417	424117.1049
418	424109.4406
419	424095.4919
420	424087.0681
421	424079.1734
422	424072.8429
423	424052.6265
424	424045.9029
425	424037.7138
426	424032.7096
427	424029.3765
428	424018.5612
